Name,URL,YearStarted,YearEnded,Position,SquadHistory,IsActive
Sam Hatton,https://fbref.com/en/players/24e5dc19/Sam-Hatton,2006,2016,"DF,MF","AFC Wimbledon, Aldershot Town, Grimsby Town",No
Nick Haughton,https://fbref.com/en/players/7c47ac8b/Nick-Haughton,2014,2026,"DF,FW","Forest Green Rovers, Fylde, Fleetwood Town, Salford City",Yes
Omar Haughton,https://fbref.com/en/players/c2cac668/Omar-Haughton,2017,,MF,,No
Brandon Haunstrup,https://fbref.com/en/players/d7831bf7/Brandon-Haunstrup,2015,2026,"DF,GK","AFC Totton, Kilmarnock, Portsmouth, Cambridge United, Gateshead, Sutton United",Yes
Kortney Hause,https://fbref.com/en/players/bf8fad51/Kortney-Hause,2012,2023,DF,"Wolverhampton Wanderers, Aston Villa, Wycombe Wanderers, Gillingham, Aston Villa U23, Watford",No
Gianluca Havern,https://fbref.com/en/players/0d46c126/Gianluca-Havern,2008,2016,DF,"Altrincham, Stockport County, Mansfield Town",No
Will de Havilland,https://fbref.com/en/players/1c6301f7/Will-de-Havilland,2014,2025,"DF,MF","Maidenhead United, Maidstone United, Dover Athletic, Wycombe Wanderers, Aldershot Town",Yes
Cameron Hawkes,https://fbref.com/en/players/c45768a6/Cameron-Hawkes,2017,2018,MF,,No
Josh Hawkes,https://fbref.com/en/players/135d87a4/Josh-Hawkes,2016,2026,"FW,MF","Oldham Athletic, Tranmere Rovers, Hartlepool United, Sunderland U23",Yes
Callum Hawkins,https://fbref.com/en/players/d7880d96/Callum-Hawkins,2018,2022,GK,,No
Daniel Hawkins,https://fbref.com/en/players/00634fff/Daniel-Hawkins,2014,2015,FW,Blyth Spartans AFC,No
Harri Hawkins,https://fbref.com/en/players/6a8ab64b/Harri-Hawkins,2010,2025,DF,"Virginia Dream FC, Loudoun United, Harrisburg City Islanders, Greenville Triumph, Histon",Yes
Harry Hawkins,https://fbref.com/en/players/a4424c39/Harry-Hawkins,2022,2026,MF,Derby County U21,Yes
Jordan Hawkins,https://fbref.com/en/players/daffe8fc/Jordan-Hawkins,2015,2016,GK,,No
Lewis Hawkins,https://fbref.com/en/players/e0cc603f/Lewis-Hawkins,2011,2024,MF,Hartlepool United,No
Oliver Hawkins,https://fbref.com/en/players/38c59353/Oliver-Hawkins,2014,2026,"DF,FW","Barnet, Portsmouth, Gillingham, Mansfield Town, Dagenham & Redbridge, Ipswich Town",Yes
Peter Hawkins,https://fbref.com/en/players/bc7a1efb/Peter-Hawkins,2001,2009,DF,"Wimbledon, Ebbsfleet United, Rushden & Diamonds",No
Ryan Hawkins,https://fbref.com/en/players/a3e3a83d/Ryan-Hawkins,2020,2021,MF,,No
Terry Hawkridge,https://fbref.com/en/players/b9735ef8/Terry-Hawkridge,2013,2024,MF,"Lincoln City, Scunthorpe United, Solihull Moors, Notts County, Mansfield Town",No
Karl Hawley,https://fbref.com/en/players/de9f1be3/Karl-Hawley,2001,2016,FW,"Notts County, Carlisle United, Scunthorpe United, Alfreton Town, Preston North End, Torquay United,",No
Kyle Hawley,https://fbref.com/en/players/bcd7c86e/Kyle-Hawley,2016,2019,FW,,No
Andy Haworth,https://fbref.com/en/players/8e055808/Andy-Haworth,2009,2018,MF,"Barrow, Bury, Rochdale, Falkirk, Tamworth, Guiseley, Cheltenham Town, Gateshead, Torquay United, Oxf",No
Rob Hawthorne,https://fbref.com/en/players/0accccda/Rob-Hawthorne,2014,2015,MF,,No
Aidan Hawtin,https://fbref.com/en/players/891af463/Aidan-Hawtin,2014,2016,MF,,No
Ernold Haxhiu,https://fbref.com/en/players/27b42173/Ernold-Haxhiu,2019,2020,MF,,No
Alex Hay,https://fbref.com/en/players/b20feff4/Alex-Hay,2002,2005,FW,"Rushden & Diamonds, Tranmere Rovers",No
Ashley Hay,https://fbref.com/en/players/545c0494/Ashley-Hay,2024,2026,FW,"Dundee, Cheltenham Town",Yes
Noah Hay,https://fbref.com/en/players/b73ceadc/Noah-Hay,2022,2023,DF,,No
Kyle Hayde,https://fbref.com/en/players/229cdcad/Kyle-Hayde,2019,2024,MF,,No
Aaron Hayden,https://fbref.com/en/players/100d6085/Aaron-Hayden,2015,2026,DF,"Carlisle United, Wrexham, Newport County",Yes
Lewis Hayden,https://fbref.com/en/players/e3dbdfa1/Lewis-Hayden,2016,2017,MF,,No
Matthew Hayden,https://fbref.com/en/players/5d8e83e2/Matthew-Hayden,2025,2026,DF,Brighton & Hove Albion U21,Yes
Isabella Hayes,https://fbref.com/en/players/3f7fd7bb/Isabella-Hayes,2020,,FW,Klepp,No
Nicholas Hayes,https://fbref.com/en/players/7c94a189/Nicholas-Hayes,2018,2026,GK,"Southend United, Barnet, Solihull Moors",Yes
Paul Hayes,https://fbref.com/en/players/05ea4299/Paul-Hayes,2002,2018,"FW,MF","Scunthorpe United, Wycombe Wanderers, Barnsley, Brentford, Preston North End, Charlton Athletic, New",No
Ryan Hayes,https://fbref.com/en/players/9d0db287/Ryan-Hayes,2014,2018,MF,Dartford,No
Charlie Hayes-Green,https://fbref.com/en/players/24fc30c2/Charlie-Hayes-Green,2024,2025,DF,,Yes
Maxwell Haygarth,https://fbref.com/en/players/2294d430/Maxwell-Haygarth,2020,2025,MF,"Altrincham, Brentford",Yes
Rickie Hayles,https://fbref.com/en/players/c87fdaf9/Rickie-Hayles,2018,2019,DF,,No
Tobias Hayles-Docherty,https://fbref.com/en/players/54add517/Tobias-Hayles-Docherty,2016,2017,MF,,No
Tobias Hayles-Docherty,https://fbref.com/en/players/5a026b5c/Tobias-Hayles-Docherty,2016,2018,MF,,No
Garry Haylock,https://fbref.com/en/players/72856a93/Garry-Haylock,1993,1995,FW,Linfield FC,No
Charlotte Haynes,https://fbref.com/en/players/74cd3dd3/Charlotte-Haynes,2017,,GK,,No
Danny Haynes,https://fbref.com/en/players/44b31c52/Danny-Haynes,2005,2016,"FW,MF","Ipswich Town, Bristol City, Charlton Athletic, Barnsley, Notts County, Hibernian, Boreham Wood, Chel",No
Johnny Haynes,https://fbref.com/en/players/500a5977/Johnny-Haynes,1954,1962,"FW,MF",England,No
Kyle Haynes,https://fbref.com/en/players/59433882/Kyle-Haynes,2008,2011,DF,Cheltenham Town,No
Ryan Haynes,https://fbref.com/en/players/96169411/Ryan-Haynes,2012,2026,"DF,MF","Brackley Town FC, Newport County, Coventry City, Northampton Town, Shrewsbury Town, Cheltenham Town,",Yes
Curtis Haynes-Brown,https://fbref.com/en/players/5c719bc9/Curtis-Haynes-Brown,2011,2013,DF,"Cambridge United, Yeovil Town, AFC Wimbledon",No
Pablo Haysham,https://fbref.com/en/players/9c26fbc7/Pablo-Haysham,2017,2021,FW,,No
Kane Haysman,https://fbref.com/en/players/355e2fe2/Kane-Haysman,2012,2013,MF,,No
James Hayter,https://fbref.com/en/players/4e13b228/James-Hayter,2002,2015,FW,"Bournemouth, Doncaster Rovers, Yeovil Town",No
Adam Hayton,https://fbref.com/en/players/ce2328ec/Adam-Hayton,2020,2025,GK,,Yes
Steve Hayward,https://fbref.com/en/players/140631e9/Steve-Hayward,2002,2004,MF,"Fulham, Barnsley, Derby County",No
Sophie Haywood,https://fbref.com/en/players/396da0c5/Sophie-Haywood,2020,2022,FW,Aston Villa,No
Amelia Hazard,https://fbref.com/en/players/ccaf2066/Amelia-Hazard,2018,2019,MF,,No
Micky Hazard,https://fbref.com/en/players/33cc8433/Micky-Hazard,1993,1995,MF,"Swindon Town, Tottenham Hotspur",No
Max Hazeldine,https://fbref.com/en/players/14758685/Max-Hazeldine,2014,2016,FW,,No
Reuben Hazell,https://fbref.com/en/players/37189b0c/Reuben-Hazell,2002,2013,DF,"Oldham Athletic, Chesterfield, Torquay United, Shrewsbury Town",No
Jack Hazlehurst,https://fbref.com/en/players/c7e25c93/Jack-Hazlehurst,2024,2025,MF,,Yes
Jaheim Headley,https://fbref.com/en/players/abe6f455/Jaheim-Headley,2020,2026,MF,"Port Vale, Huddersfield Town, Harrogate Town FC",Yes
Greg Heald,https://fbref.com/en/players/28b67c73/Greg-Heald,2002,2005,DF,"Rochdale, Leyton Orient",No
Paul Heald,https://fbref.com/en/players/7c9385a5/Paul-Heald,1993,2004,GK,"Wimbledon, Sheffield Wednesday",No
Joe Healey,https://fbref.com/en/players/58363cc7/Joe-Healey,2016,2017,MF,,No
Joe Healy,https://fbref.com/en/players/55e732c4/Joe-Healy,2004,2017,MF,"Welling United, Dover Athletic",No
Lorcan Healy,https://fbref.com/en/players/a5e4c3a3/Lorcan-Healy,2017,2018,MF,,No
Aidan Heaney,https://fbref.com/en/players/3bb9bdbc/Aidan-Heaney,1996,,GK,New England Revolution,No
Mackenzie Heaney,https://fbref.com/en/players/9dd3894a/Mackenzie-Heaney,2017,2026,FW,"Spennymoor Town FC, Newcastle United U23",Yes
Neil Heaney,https://fbref.com/en/players/cffb4fa2/Neil-Heaney,1992,2001,MF,"Southampton, Manchester City, Dundee United, Charlton Athletic, Arsenal",No
William Heaney,https://fbref.com/en/players/1d84637f/William-Heaney,2013,2015,MF,Wilmington Hammerheads,No
Jamie Heapy,https://fbref.com/en/players/5961573b/Jamie-Heapy,2015,2016,DF,,No
Fenton Heard,https://fbref.com/en/players/42e998df/Fenton-Heard,2021,2025,MF,West Bromwich Albion U21,Yes
Scott Heard,https://fbref.com/en/players/324b71f6/Scott-Heard,2016,2017,MF,,No
Tom Heardman,https://fbref.com/en/players/be0e6f83/Tom-Heardman,2014,2018,FW,"Newcastle United U23, Gateshead",No
Charley Hearn,https://fbref.com/en/players/96b69541/Charley-Hearn,2001,2008,MF,"Northampton Town, Millwall, Grays Athletic, Ebbsfleet United",No
Eli Hearn,https://fbref.com/en/players/9620ce4e/Eli-Hearn,2020,2022,DF,,No
Liam Hearn,https://fbref.com/en/players/77951f1d/Liam-Hearn,2011,2017,FW,"Grimsby Town, Lincoln City, Mansfield Town",No
Adrian Heath,https://fbref.com/en/players/e04e21ea/Adrian-Heath,1988,1989,"FW,MF","Burnley, Espanyol, Sheffield United",No
Colin Heath,https://fbref.com/en/players/5c2dbb94/Colin-Heath,2003,2008,FW,"Macclesfield Town, Swindon Town, Antwerp, Farsley Celtic, Cambridge United",No
Corey Heath,https://fbref.com/en/players/24695518/Corey-Heath,2019,2020,DF,,No
Fred Heath,https://fbref.com/en/players/883a9764/Fred-Heath,2025,2026,GK,Manchester United U21,Yes
Isaac Heath,https://fbref.com/en/players/b54c480e/Isaac-Heath,2022,2026,MF,"Everton U21, Accrington Stanley",Yes
Jake Heath,https://fbref.com/en/players/70114a5e/Jake-Heath,2016,2017,MF,,No
Joe Heath,https://fbref.com/en/players/1d8eca6b/Joe-Heath,2008,2014,DF,"Hereford United, Chester, Nottingham Forest, Lincoln City",No
Matt Heath,https://fbref.com/en/players/6b4899eb/Matt-Heath,2001,2014,DF,"Colchester United, Leeds United, Leicester City, Coventry City, Stockport County, Brighton & Hove Al",No
Nick Heath,https://fbref.com/en/players/1e92ad4f/Nick-Heath,2002,2003,"DF,MF",,No
Mick Heathcote,https://fbref.com/en/players/51375394/Mick-Heathcote,2002,2003,DF,Shrewsbury Town,No
Sam Heathcote,https://fbref.com/en/players/0bcbda61/Sam-Heathcote,2015,2026,DF,Macclesfield FC,Yes
Kai Heather,https://fbref.com/en/players/d23e8618/Kai-Heather,2015,2016,,,No
Ann-Marie Heatherson,https://fbref.com/en/players/1b81aa5e/Ann-Marie-Heatherson,2017,2019,"FW,MF",Yeovil Town,No
Adam Heaton,https://fbref.com/en/players/53380f84/Adam-Heaton,2020,2021,MF,,No
Josh Heaton,https://fbref.com/en/players/2f7270b0/Josh-Heaton,2015,2019,DF,,No
Niall Heaton,https://fbref.com/en/players/fd82be7f/Niall-Heaton,2014,2019,DF,,No
Tom Heaton,https://fbref.com/en/players/a6de6361/Tom-Heaton,2005,2026,GK,"Manchester United, Burnley, Cardiff City, Bristol City, Aston Villa, Wycombe Wanderers, Swindon Town",Yes
Ayden Heaven,https://fbref.com/en/players/64e17fab/Ayden-Heaven,2023,2026,DF,"Manchester United, Arsenal U21",Yes
George Heaven,https://fbref.com/en/players/544921a2/George-Heaven,2018,2019,DF,,No
Paul Heckingbottom,https://fbref.com/en/players/711cc4b8/Paul-Heckingbottom,2002,2011,DF,"Bradford City, Barnsley, Sheffield Wednesday, Gateshead, Norwich City, Mansfield Town",No
Dan Hector,https://fbref.com/en/players/ece34499/Dan-Hector,2016,2020,FW,,No
Jahmal Hector-Ingram,https://fbref.com/en/players/ebb8f7ab/Jahmal-Hector-Ingram,2017,2022,FW,"West Ham United U23, Derby County U23, Derby County",No
Jonathan Hedge,https://fbref.com/en/players/1f0bb43d/Jonathan-Hedge,2014,2016,GK,Telford United,No
Harry Hedges,https://fbref.com/en/players/a02dd9bb/Harry-Hedges,2024,2025,MF,,Yes
Ben Hedley,https://fbref.com/en/players/8e091411/Ben-Hedley,2015,2021,MF,Darlington,No
Eleanor Heeps,https://fbref.com/en/players/8aee792b/Eleanor-Heeps,2019,2026,GK,Tottenham Hotspur,Yes
Daniel Heffernan,https://fbref.com/en/players/f912989c/Daniel-Heffernan,2009,2016,FW,Altrincham,No
Colin Heffron,https://fbref.com/en/players/6bbee9e2/Colin-Heffron,2015,,DF,New York Red Bulls II,No
Nick Hegarty,https://fbref.com/en/players/2fb31033/Nick-Hegarty,2004,2012,"DF,MF","Grimsby Town, St Mirren",No
Kler Heh,https://fbref.com/en/players/af75e660/Kler-Heh,2015,2016,FW,Dumbarton,No
Hussein Heidari,https://fbref.com/en/players/382f0365/Hussein-Heidari,2014,2015,FW,,No
Yuel Helafu,https://fbref.com/en/players/f27cb73c/Yuel-Helafu,2025,2026,DF,Manchester United U21,Yes
Rhain Hellawell,https://fbref.com/en/players/28e44742/Rhain-Hellawell,2017,2018,,,No
Jordan Helliwell,https://fbref.com/en/players/0d46ac39/Jordan-Helliwell,2021,2026,DF,"Gainsborough Trinity FC, Barnsley",Yes
Josh Helm,https://fbref.com/en/players/dacdbf43/Josh-Helm,2014,2015,GK,,No
Mark Helm,https://fbref.com/en/players/48296f4b/Mark-Helm,2019,2026,MF,"Fleetwood Town, Burton Albion, Burnley U23, Manchester United U23",Yes
Zachary Hemming,https://fbref.com/en/players/339d2f71/Zachary-Hemming,2017,2026,GK,"Chesterfield, St Mirren, Kilmarnock, Middlesbrough U23, Leyton Orient",Yes
Ashley Hemmings,https://fbref.com/en/players/b107f48e/Ashley-Hemmings,2008,2024,"DF,FW","Dagenham & Redbridge, Walsall, Kidderminster Harriers, Fylde, Plymouth Argyle, Mansfield Town, Torqu",No
George Hemmings,https://fbref.com/en/players/28795530/George-Hemmings,2022,2026,MF,Aston Villa U21,Yes
Kane Hemmings,https://fbref.com/en/players/7cdcd959/Kane-Hemmings,2011,2026,FW,"Barrow, Tranmere Rovers, Dundee, Burton Albion, Oxford United, Mansfield Town, Cowdenbeath, Stevenag",Yes
Max Hemmings,https://fbref.com/en/players/c74a1bec/Max-Hemmings,2019,2021,MF,Greenville Triumph,No
Lauren Hemp,https://fbref.com/en/players/d979e267/Lauren-Hemp,2017,2026,"FW,MF","Manchester City, England, Bristol City, Great Britain",Yes
Alex Henderson,https://fbref.com/en/players/c3a82d6c/Alex-Henderson,2023,2026,MF,Accrington Stanley,Yes
Conor Henderson,https://fbref.com/en/players/5f74f8f6/Conor-Henderson,2012,2022,MF,"Crawley Town, Pirin Blagoevgrad, Dunărea Călărași, Stevenage, Grimsby Town",No
Darius Henderson,https://fbref.com/en/players/ea503cef/Darius-Henderson,2002,2017,FW,"Watford, Reading, Sheffield United, Millwall, Nottingham Forest, Gillingham, Leyton Orient, Scunthor",No
Dean Henderson,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,2015,2026,GK,"Crystal Palace, England, Sheffield United, Shrewsbury Town, Manchester United, Nottingham Forest, Gr",Yes
Ian Henderson,https://fbref.com/en/players/afb0fae3/Ian-Henderson,2002,2026,"FW,MF","Rochdale, Colchester United, Norwich City, Salford City FC, Northampton Town, Luton Town, Rotherham",Yes
Jeff Henderson,https://fbref.com/en/players/30970c01/Jeff-Henderson,2014,,DF,Sligo Rovers,No
Jordan Henderson,https://fbref.com/en/players/935e6b8f/Jordan-Henderson,2008,2026,MF,"Liverpool, England, Brentford, Sunderland, Ajax, Al-Ettifaq, Coventry City",Yes
Kevin Henderson,https://fbref.com/en/players/06126820/Kevin-Henderson,2002,2004,FW,"Hartlepool United, Carlisle United, Burnley",No
Lee Henderson,https://fbref.com/en/players/6879512d/Lee-Henderson,2017,2018,DF,,No
Liam Henderson,https://fbref.com/en/players/6a615e11/Liam-Henderson,2008,2013,FW,"Forest Green Rovers, Watford, Rotherham United, Gateshead, Colchester United, Hartlepool United, Yor",No
Matthew Henderson-Hall,https://fbref.com/en/players/1c18c5e2/Matthew-Henderson-Hall,2023,2025,DF,Manchester City U21,Yes
Ian Hendon,https://fbref.com/en/players/2ee97185/Ian-Hendon,2001,2008,DF,"Barnet, Sheffield Wednesday, Peterborough United, Barnsley, Birmingham City",No
Lee Hendrie,https://fbref.com/en/players/8716663c/Lee-Hendrie,1995,2013,MF,"Aston Villa, Stoke City, Tamworth, Sheffield United, Kidderminster Harriers, Bradford City, Leiceste",No
Luke Hendrie,https://fbref.com/en/players/417134fe/Luke-Hendrie,2015,2026,"DF,MF","Morecambe, Grimsby Town, Bradford City, Hartlepool United, Kilmarnock, York City, Shrewsbury Town",Yes
Stuart Hendrie,https://fbref.com/en/players/8f560dfe/Stuart-Hendrie,2010,2014,FW,"Tamworth, Morecambe",No
Will Hendry,https://fbref.com/en/players/7d74d1fc/Will-Hendry,2005,2010,MF,"AFC Wimbledon, Millwall",No
Sam Hendy,https://fbref.com/en/players/8ebbc355/Sam-Hendy,2017,2018,MF,,No
Ben Heneghan,https://fbref.com/en/players/846ac45b/Ben-Heneghan,2014,2026,DF,"Port Vale, Chester, Blackpool, AFC Wimbledon, Motherwell, Fleetwood Town, Sheffield Wednesday",Yes
Alex Hennessy,https://fbref.com/en/players/aa993efa/Alex-Hennessy,2021,2022,FW,,No
Aaron Henry,https://fbref.com/en/players/72b12581/Aaron-Henry,2019,2026,MF,"Boreham Wood, Wealdstone FC, Charlton Athletic, Rochdale, Crawley Town",Yes
Charlie Henry,https://fbref.com/en/players/3ea1aa1c/Charlie-Henry,2010,2013,MF,"Newport County, Macclesfield Town, Aldershot Town, Telford United",No
Dion-Curtis Henry,https://fbref.com/en/players/156bb589/Dion-Curtis-Henry,2014,2022,GK,Maidstone United,No
James Henry,https://fbref.com/en/players/c354b50c/James-Henry,2007,2026,"FW,MF","Aldershot Town, Oxford United, Millwall, Wolverhampton Wanderers, Bolton Wanderers, Bournemouth, Rea",Yes
Karl Henry,https://fbref.com/en/players/5eac3bb7/Karl-Henry,2002,2019,"DF,MF","Wolverhampton Wanderers, Stoke City, Queens Park Rangers, Bolton Wanderers, Cheltenham Town, Bradfor",No
Korrey Henry,https://fbref.com/en/players/93a2dc6c/Korrey-Henry,2017,2020,FW,"Braintree Town, Yeovil Town, Bromley",No
Nick Henry,https://fbref.com/en/players/7c8e02a1/Nick-Henry,1992,1994,MF,"Oldham Athletic, Sheffield United",No
Paul Henry,https://fbref.com/en/players/f6c38228/Paul-Henry,2007,2009,MF,Tranmere Rovers,No
Ronnie Henry,https://fbref.com/en/players/a49c8ac4/Ronnie-Henry,2002,2020,DF,"Stevenage Borough, Luton Town, Southend United",No
Shane Henry,https://fbref.com/en/players/1c6475ad/Shane-Henry,2016,2017,MF,,No
Will Henry,https://fbref.com/en/players/201552ab/Will-Henry,2015,2023,GK,Swindon Town,No
Alex Henshall,https://fbref.com/en/players/35c6dff0/Alex-Henshall,2012,2017,MF,"Chesterfield, Braintree Town, Ipswich Town",No
Ryan Henshaw,https://fbref.com/en/players/fc03fb2c/Ryan-Henshaw,2017,2021,DF,,No
Corinne Henson,https://fbref.com/en/players/250832f5/Corinne-Henson,2025,2026,DF,London City Lionesses,Yes
Rushian Hepburn-Murphy,https://fbref.com/en/players/1e2012a6/Rushian-Hepburn-Murphy,2014,2026,FW,"Milton Keynes Dons, Swindon Town, Crawley Town, Tranmere Rovers, Aston Villa, Aston Villa U23, Cambr",Yes
Courtney Herbert,https://fbref.com/en/players/be0d215a/Courtney-Herbert,2009,2011,FW,Northampton Town,No
Ben Herd,https://fbref.com/en/players/6920c77e/Ben-Herd,2005,2017,DF,"Aldershot Town, Shrewsbury Town",No
Alex Hernandez,https://fbref.com/en/players/88c9366a/Alex-Hernandez,2024,2025,FW,,Yes
Loic Hernandez,https://fbref.com/en/players/abf50cf9/Loic-Hernandez,2019,2021,DF,Barnet,No
Finlay Herrick,https://fbref.com/en/players/8a764f73/Finlay-Herrick,2022,2026,GK,"West Ham United U21, Boreham Wood",Yes
Ian Herring,https://fbref.com/en/players/05f93e0c/Ian-Herring,2002,2011,MF,"Salisbury City, Forest Green Rovers, Swindon Town",No
Jake Hesketh,https://fbref.com/en/players/4c83c9f8/Jake-Hesketh,2014,2023,"FW,MF","Eastleigh, Southampton U23, Lincoln City, Burton Albion, Milton Keynes Dons, Crawley Town, Southampt",No
Emile Heskey,https://fbref.com/en/players/30184789/Emile-Heskey,1994,2016,FW,"Liverpool, Leicester City, Aston Villa, Wigan Athletic, Birmingham City, Bolton Wanderers, Newcastle",No
Jaden Heskey,https://fbref.com/en/players/5281da0d/Jaden-Heskey,2022,2026,MF,"Manchester City U21, Manchester City",Yes
Reigan Heskey,https://fbref.com/en/players/d4ee4622/Reigan-Heskey,2023,2026,FW,"Manchester City U21, Manchester City",Yes
Simon Heslop,https://fbref.com/en/players/360899d6/Simon-Heslop,2006,2018,MF,"Oxford United, York City, Halifax Town, Mansfield Town, Stevenage, Tamworth, Wrexham, Torquay United",No
Andy Hessenthaler,https://fbref.com/en/players/013693e9/Andy-Hessenthaler,2001,2007,MF,"Watford, Gillingham, Barnet, Hull City",No
Jake Hessenthaler,https://fbref.com/en/players/4a3ab75c/Jake-Hessenthaler,2012,2026,"DF,MF","Ebbsfleet United, Gillingham, Crawley Town, Dagenham & Redbridge, Grimsby Town, Woking, Tamworth",Yes
Sean Hessey,https://fbref.com/en/players/92921891/Sean-Hessey,2000,2013,DF,"Macclesfield Town, Chester City, Accrington Stanley, Kilmarnock, Barrow, Huddersfield Town, Blackpoo",No
Charlie Hester-Cook,https://fbref.com/en/players/3d9ab571/Charlie-Hester-Cook,2023,2025,MF,Horsham FC,No
Sam Hetherington,https://fbref.com/en/players/beebc249/Sam-Hetherington,2024,2025,MF,,Yes
Steven Hetherington,https://fbref.com/en/players/0542871d/Steven-Hetherington,2012,2024,MF,"Alloa Athletic, Airdrie United, Arbroath, Motherwell",Yes
Samson Hewett,https://fbref.com/en/players/ad54f725/Samson-Hewett,2023,2024,FW,,No
Luke Hewitson,https://fbref.com/en/players/f999962d/Luke-Hewitson,2021,2026,GK,Fleetwood Town,Yes
Craig Hewitt,https://fbref.com/en/players/f9b5b107/Craig-Hewitt,2025,2026,MF,York City,Yes
Josh Hewitt,https://fbref.com/en/players/b7747d0f/Josh-Hewitt,2020,2021,DF,Reading U23,No
Steven Hewitt,https://fbref.com/en/players/c78e1903/Steven-Hewitt,2011,2017,MF,"Southport, Alfreton Town, Accrington Stanley",No
Troy Hewitt,https://fbref.com/en/players/831f53dc/Troy-Hewitt,2011,2014,FW,"Walsall, Bury, Dagenham & Redbridge",No
Jem Hewlett,https://fbref.com/en/players/7f8615e8/Jem-Hewlett,2021,2025,DF,"Southampton U21, Southampton U23",No
Matthew Hewlett,https://fbref.com/en/players/ce98b9ea/Matthew-Hewlett,2002,2006,MF,"Swindon Town, Torquay United",No
Tom Hewlett,https://fbref.com/en/players/0faa2c8e/Tom-Hewlett,2020,2023,FW,,No
Sam Hewson,https://fbref.com/en/players/176bab0b/Sam-Hewson,2008,2011,MF,"Altrincham, Hereford United, Bury",No
Lewis Hey,https://fbref.com/en/players/fd6789e6/Lewis-Hey,2021,2022,MF,,No
Matthew Heywood,https://fbref.com/en/players/0e02aea5/Matthew-Heywood,2002,2010,DF,"Swindon Town, Brentford, Bristol City, Grimsby Town, Burnley",No
Ollie Heywood,https://fbref.com/en/players/79dd7082/Ollie-Heywood,2023,2024,DF,,No
David Hibbert,https://fbref.com/en/players/0206e15a/David-Hibbert,2004,2014,FW,"Shrewsbury Town, Nuneaton Town, Rotherham United, Preston North End, Port Vale, Bradford City, Peter",No
Tony Hibbert,https://fbref.com/en/players/c878c4bf/Tony-Hibbert,2000,2016,DF,Everton,No
Jake Hibbs,https://fbref.com/en/players/bd5787c4/Jake-Hibbs,2016,2017,MF,FC Halifax Town,No
Brady Hickey,https://fbref.com/en/players/86d863c7/Brady-Hickey,2015,2016,MF,,No
Jordan Hickey,https://fbref.com/en/players/34fe72fa/Jordan-Hickey,2017,2018,MF,,No
Harry Hickford,https://fbref.com/en/players/c2903a87/Harry-Hickford,2014,2016,MF,,No
Kellan Hickinson,https://fbref.com/en/players/842bc81e/Kellan-Hickinson,2022,2023,MF,,No
Jak Hickman,https://fbref.com/en/players/168583d5/Jak-Hickman,2020,2022,FW,"King's Lynn Town FC, St Patrick's Athletic, Bolton Wanderers",No
Jake Hicks,https://fbref.com/en/players/1b9d91f0/Jake-Hicks,2025,2026,MF,Weston-super-Mare AFC,Yes
Michael Higdon,https://fbref.com/en/players/580fac60/Michael-Higdon,2003,2016,FW,"Crewe Alexandra, Motherwell, Falkirk, St Mirren, NEC Nijmegen, Sheffield United, Oldham Athletic, Tr",No
Kallum Higginbotham,https://fbref.com/en/players/98f2bc4f/Kallum-Higginbotham,2007,2020,"FW,MF","Dunfermline Athletic, Rochdale, Partick Thistle, Falkirk, Kilmarnock, Real Kashmir, Accrington Stanl",Yes
Akeel Higgins,https://fbref.com/en/players/0e6e09b8/Akeel-Higgins,2022,2026,MF,"West Bromwich Albion U21, Exeter City",Yes
Alex Higgins,https://fbref.com/en/players/a0d8eb69/Alex-Higgins,2002,2003,MF,Boston United,No
Jack Higgins,https://fbref.com/en/players/d970fe67/Jack-Higgins,2015,2017,DF,"York City, Southport",No
Ryan Higgins,https://fbref.com/en/players/4f94b97a/Ryan-Higgins,2014,2018,MF,Telford United,No
Sam Higgins,https://fbref.com/en/players/a3af5a48/Sam-Higgins,2014,2015,FW,,No
Jordan Higgs,https://fbref.com/en/players/17b93575/Jordan-Higgs,2016,2020,MF,Bromley,No
Kieran Higgs,https://fbref.com/en/players/152fcd67/Kieran-Higgs,2017,2018,FW,Norwich City U23,No
Lesley Higgs,https://fbref.com/en/players/62a77bfb/Lesley-Higgs,1995,,GK,,No
Shane Higgs,https://fbref.com/en/players/0b889d48/Shane-Higgs,2002,2012,GK,"Cheltenham Town, Leeds United, Northampton Town",No
Luke Higham,https://fbref.com/en/players/7645113c/Luke-Higham,2014,2017,DF,Blackpool,No
Craig Hignett,https://fbref.com/en/players/04f2da3e/Craig-Hignett,1992,2007,"FW,MF","Middlesbrough, Barnsley, Blackburn Rovers, Darlington, Crewe Alexandra, Leicester City, Coventry Cit",No
Lee Hildreth,https://fbref.com/en/players/fd2395e2/Lee-Hildreth,2013,2014,MF,Tamworth,No
Scott Hiley,https://fbref.com/en/players/96f1e493/Scott-Hiley,1995,2007,DF,"Portsmouth, Birmingham City, Crawley Town, Exeter City, Southampton, Manchester City",No
Andy Hill,https://fbref.com/en/players/4a6decfb/Andy-Hill,1992,1995,DF,Manchester City,No
Clint Hill,https://fbref.com/en/players/c0936ded/Clint-Hill,2002,2018,DF,"Queens Park Rangers, Crystal Palace, Stoke City, Carlisle United, Rangers, Oldham Athletic, Nottingh",No
Danny Hill,https://fbref.com/en/players/2055ed0e/Danny-Hill,1992,1995,MF,"Cardiff City, Tottenham Hotspur, Birmingham City",No
